id,gearth_id,name,lat,long,region
45812,06B1424A4613A7C17094,space mountain,33.81096849999999,-117.9175039,TOMORROW_LAND
76976,076CF89D1113B6B412F0,rail road - new orleans,33.81121026062529,-117.9213025959815,NEW_ORLEANS_SQUARE
69032,079ACFAD3413A7C301E8,mr. toad's wild ride,33.8133746,-117.9187482,FANTASY_LAND
78442,08186403BC13B0A688CA,alice in wonderland,33.8132930507749,-117.9182948308215,FANTASY_LAND
83634,086C7A03AC13BC08F3B2,pumpkin festival,33.81073437994557,-117.9186887500097,MAIN_STREET
3125,087200FCCF13A7BEBED5,mark twain riverboat,33.8122864,-117.920553,FRONTIER_LAND
61323,0875E1562513A7BD59AB,splash mountain,33.8121152,-117.9224486,CRITTER_COUNTRY
50720,0881FBFB6613B1743A40,disney gallery,33.81024553687782,-117.9186401620238,MAIN_STREET
73133,08F6B05F6813A7C4734D,star tours – the adventures continue,33.8119576,-117.9179778,TOMORROW_LAND
5359,09BD79D7C213B6C0CB0F,shooting exposition,33.81205695921271,-117.9200122093586,FRONTIER_LAND
29293,0A6050D15A13C25D55ED,sailing columbia,33.81221269241892,-117.9205529319051,FRONTIER_LAND
43753,0A8B71CAD913A7BD8AA9,the many adventures of winnie the pooh,33.812525,-117.923135,CRITTER_COUNTRY
54449,0AAA11A5E113C261ADD1,tarzan's tree house,33.81130047273194,-117.9205372819712,ADVENTURE_LAND
60282,0AB31AE41D13B6BB8A9A,fortune teller - main street,33.81112055096432,-117.9187881795335,MAIN_STREET
30923,0B4FDB258813BC04D88B,its a small world holiday,33.81440664772209,-117.9178706484609,FANTASY_LAND
23238,0B73DF4CAC13A7C403A6,finding nemo submarine voyage,33.8127688,-117.9169559,TOMORROW_LAND
73113,0B76231CE813D58AA419,sw entrance - frontier land,33.81341237644558,-117.9203174145435,STAR_WARS_GALAXY_EDGE
96097,0BDDD94EB613A7C20841,matterhorn bobsleds,33.8130703,-117.9178203,FANTASY_LAND
91073,0BF5D5A0A713B6B6A081,rail road - entrance,33.80996898917935,-117.9188180645016,MAIN_STREET
714,0CC239AEC813B172106A,davy crockett's explorer canoes,33.812481,-117.922071,CRITTER_COUNTRY
73844,0CE037331013B6B264D4,rail road mickey town,33.81491642093399,-117.9185357968625,TOON_TOWN
99303,0CEB5828ED13A7C449E7,star wars launch bay,33.812238,-117.916757,TOMORROW_LAND
6984,0D0C230FA613BBFDF428,haunted mansion holiday,33.81180740175085,-117.9215520363017,NEW_ORLEANS_SQUARE
32605,0D12A6B8D013A7BFE61D,pinocchio's daring journey,33.8133526,-117.9192598,FANTASY_LAND
40788,0D8D702F9D13A7C3A0D4,minnie's house,33.8156031,-117.9188757,TOON_TOWN
92795,0E2A31BD5613B0A3295B,king arthur carrousel,33.81339039999999,-117.9189451,FANTASY_LAND
68863,0E8EB1CD7613A7C4569F,buzz lightyear astro blasters,33.81223840000001,-117.9178289,TOMORROW_LAND
70282,0EA01CB54313BC0B7CAA,main street vehicles,33.81059829734667,-117.9187237144692,MAIN_STREET
70528,0ED9128B2213C25E7840,sleeping beauty castle walkthrough,33.8127953,-117.9189693,FANTASY_LAND
46507,0EF77D74B213A7C4392B,autopia,33.8125924,-117.916365,TOMORROW_LAND
85718,0F27749CE713A7C2EBF6,storybook land canal boats,33.8136285,-117.9182653,FANTASY_LAND
8115,0F6CE8437413B1780353,monorail,33.81266704406848,-117.9166137069907,TOMORROW_LAND
74966,0FD9BE9B7513A7C00B76,peter pan's flight,33.8131133,-117.9188585,FANTASY_LAND
