source,source_name,target,target_name,distance_km
96097,matterhorn bobsleds,41985,mad tea party,0.06584429994379845
96097,matterhorn bobsleds,78442,alice in wonderland,0.05035354860546558
96097,matterhorn bobsleds,85718,storybook land canal boats,0.07444978318883703
91073,rail road - entrance,82766,great moments with mr. lincoln,0.0421066816291889
91073,rail road - entrance,50720,disney gallery,0.03486779597554538
91073,rail road - entrance,70282,main street vehicles,0.07051673194743478
714,davy crockett's explorer canoes,61323,splash mountain,0.05358615672082393
73844,rail road mickey town,27887,donald's boat,0.03513006275373176
73844,rail road mickey town,39868,roger rabbit's car toon spin,0.05361649697176751
73844,rail road mickey town,46167,it's a small world,0.07266552189434301
73844,rail road mickey town,1924,goofy's playhouse,0.046657535263430104
99303,star wars launch bay,58559,rail road - tomorrow land,0.04982732635475133
99303,star wars launch bay,23238,finding nemo submarine voyage,0.06181668558879744
99303,star wars launch bay,46507,autopia,0.05352150059477499
99303,star wars launch bay,8115,monorail,0.04951026589559323
6984,haunted mansion holiday,69026,haunted mansion,0.05871789745814919
6984,haunted mansion holiday,70412,pirate's lair on tom sawyer island,0.040536420012777116
6984,haunted mansion holiday,76976,rail road - new orleans,0.07028464053793614
32605,pinocchio's daring journey,16200,dumbo the flying elephant,0.049049834013615796
32605,pinocchio's daring journey,2521,casey's jr train,0.04128728507621531
32605,pinocchio's daring journey,10515,snow white's scary adventures,0.02763941397612127
32605,pinocchio's daring journey,69032,mr. toad's wild ride,0.047328364372527056
32605,pinocchio's daring journey,92795,king arthur carrousel,0.029376381037994927
32605,pinocchio's daring journey,70528,sleeping beauty castle walkthrough,0.06753111702973141
32605,pinocchio's daring journey,74966,peter pan's flight,0.04563533167817278
40788,minnie's house,64430,gadget's go coaster,0.0614844509078749
40788,minnie's house,60515,chip 'n dale treehouse,0.07155125162540711
40788,minnie's house,27887,donald's boat,0.05102231468738735
40788,minnie's house,99677,mickey's house and meet mickey,0.031002379269046827
40788,minnie's house,1924,goofy's playhouse,0.044078806302886166
92795,king arthur carrousel,16200,dumbo the flying elephant,0.035028351293420044
92795,king arthur carrousel,41985,mad tea party,0.05921382388832163
92795,king arthur carrousel,2521,casey's jr train,0.040951608790830145
92795,king arthur carrousel,10515,snow white's scary adventures,0.03728603187581946
92795,king arthur carrousel,69032,mr. toad's wild ride,0.01827560487902819
92795,king arthur carrousel,78442,alice in wonderland,0.061043749892154414
92795,king arthur carrousel,32605,pinocchio's daring journey,0.029376381037994927
92795,king arthur carrousel,70528,sleeping beauty castle walkthrough,0.0662098602182193
92795,king arthur carrousel,85718,storybook land canal boats,0.06815682414932467
92795,king arthur carrousel,74966,peter pan's flight,0.03183390857397726
68863,buzz lightyear astro blasters,44978,astro orbitor,0.04616584457054125
68863,buzz lightyear astro blasters,73133,star tours – the adventures continue,0.03411969026269818
70282,main street vehicles,40918,main street cinema,0.015472641300727697
70282,main street vehicles,82766,great moments with mr. lincoln,0.045898865195113575
70282,main street vehicles,83634,pumpkin festival,0.015472665897204887
70282,main street vehicles,50720,disney gallery,0.03997753886415828
70282,main street vehicles,60282,fortune teller - main street,0.058376574076602974
70282,main street vehicles,91073,rail road - entrance,0.07051673194743478
70528,sleeping beauty castle walkthrough,10515,snow white's scary adventures,0.04022056919270443
70528,sleeping beauty castle walkthrough,69032,mr. toad's wild ride,0.06757643531988945
70528,sleeping beauty castle walkthrough,32605,pinocchio's daring journey,0.06753111702973141
70528,sleeping beauty castle walkthrough,92795,king arthur carrousel,0.0662098602182193
70528,sleeping beauty castle walkthrough,74966,peter pan's flight,0.03681188371409729
46507,autopia,58559,rail road - tomorrow land,0.02836682356123856
46507,autopia,23238,finding nemo submarine voyage,0.05800866942615016
46507,autopia,99303,star wars launch bay,0.05352150059477499
46507,autopia,8115,monorail,0.024430590595102598
85718,storybook land canal boats,16200,dumbo the flying elephant,0.06301762857378919
85718,storybook land canal boats,41985,mad tea party,0.01556438176125985
85718,storybook land canal boats,69032,mr. toad's wild ride,0.052796162067918685
85718,storybook land canal boats,78442,alice in wonderland,0.0373998954181481
85718,storybook land canal boats,96097,matterhorn bobsleds,0.07444978318883703
85718,storybook land canal boats,92795,king arthur carrousel,0.06815682414932467
85718,storybook land canal boats,74966,peter pan's flight,0.07928010666601466
8115,monorail,58559,rail road - tomorrow land,0.04867404370752599
8115,monorail,23238,finding nemo submarine voyage,0.033578140074925114
8115,monorail,99303,star wars launch bay,0.04951026589559323
8115,monorail,46507,autopia,0.024430590595102598
74966,peter pan's flight,16200,dumbo the flying elephant,0.06627929250717678
74966,peter pan's flight,41985,mad tea party,0.06564167978643076
74966,peter pan's flight,2521,casey's jr train,0.07225259554333358
74966,peter pan's flight,10515,snow white's scary adventures,0.029176101560941352
74966,peter pan's flight,69032,mr. toad's wild ride,0.030790395819207266
74966,peter pan's flight,78442,alice in wonderland,0.055779692866689295
74966,peter pan's flight,32605,pinocchio's daring journey,0.04563533167817278
74966,peter pan's flight,92795,king arthur carrousel,0.03183390857397726
74966,peter pan's flight,70528,sleeping beauty castle walkthrough,0.03681188371409729
74966,peter pan's flight,85718,storybook land canal boats,0.07928010666601466
45812,space mountain,73133,star tours – the adventures continue,0.1183773529607371
85718,storybook land canal boats,46167,it's a small world,0.11478685174097987
70528,sleeping beauty castle walkthrough,60282,fortune teller - main street,0.18697388887616748
46167,it's a small world,85718,storybook land canal boats,0.11478685174097987
44978,astro orbitor,60282,fortune teller - main street,0.11178482480398058
45812,space mountain,99303,star wars launch bay,0.15712545392508798
99303,star wars launch bay,68863,buzz lightyear astro blasters,0.09903075272377555
61114,walt disney's enchanted tiki room,44978,astro orbitor,0.11884268558610898
44978,astro orbitor,70528,sleeping beauty castle walkthrough,0.10816463054267118
68863,buzz lightyear astro blasters,99303,star wars launch bay,0.09903075272377555
60282,fortune teller - main street,70528,sleeping beauty castle walkthrough,0.18697388887616748
70528,sleeping beauty castle walkthrough,44978,astro orbitor,0.10816463054267118
30923,its a small world holiday,85718,storybook land canal boats,0.09389418303212664
96097,matterhorn bobsleds,23238,finding nemo submarine voyage,0.08661118592832563
69026,haunted mansion,70412,pirate's lair on tom sawyer island,0.09562049640814212
70412,pirate's lair on tom sawyer island,714,davy crockett's explorer canoes,0.09229982679104619
70412,pirate's lair on tom sawyer island,69026,haunted mansion,0.09562049640814212
70528,sleeping beauty castle walkthrough,61114,walt disney's enchanted tiki room,0.11867273923671834
60282,fortune teller - main street,61114,walt disney's enchanted tiki room,0.10417758416871749
61114,walt disney's enchanted tiki room,60282,fortune teller - main street,0.10417758416871749
23238,finding nemo submarine voyage,96097,matterhorn bobsleds,0.08661118592832563
44978,astro orbitor,61114,walt disney's enchanted tiki room,0.11884268558610898
70412,pirate's lair on tom sawyer island,61323,splash mountain,0.11375098710911294
85718,storybook land canal boats,30923,its a small world holiday,0.09389418303212664
61323,splash mountain,70412,pirate's lair on tom sawyer island,0.11375098710911294
5359,shooting exposition,60282,fortune teller - main street,0.15372166250931393
60282,fortune teller - main street,44978,astro orbitor,0.11178482480398058
99303,star wars launch bay,45812,space mountain,0.15712545392508798
60282,fortune teller - main street,5359,shooting exposition,0.15372166250931393
49078,rise of the resistance,280,millennium falcon: smugglers run,0.1910918755671528
61114,walt disney's enchanted tiki room,70528,sleeping beauty castle walkthrough,0.11867273923671834
714,davy crockett's explorer canoes,70412,pirate's lair on tom sawyer island,0.09229982679104619
